the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.89716666711392 40.86236111070519),2,Bronx,205,15,78,33,15,1194,260,BID,backed,10/22/2012,South side Overpass at East Fordham Rd and Grand Concourse,"40°51'44.5""N 73°53'49.8""W",East Fordham Road,Grand Concourse East and West,Bronx,205,Not Applicable,Fordham Road,40.8623611107,-73.8971666671,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8185016046541 40.82116571575922),2,Bronx,210,13,82,34,14,3568,1427,Bus Route,backless,02/04/2017,3948 E Tremont Avenue,3948 E Tremont Avenue,E Tremont Avenue,Sampson Avenue & Cross Bronx Expwy,Bronx,210,BX40,Not Applicable,40.821174,-73.818503,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89229257704223 40.89585670424551),2,Bronx,226,11,81,34,16,3600,50,Bus Route,backed 2,03/11/2017,Van Cortland Park,5983 Broadway,Broadway,Manhattan College Parkway & W 242nd Street,Bronx,208,BX09,Not Applicable,40.895865,-73.892294,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89748857623975 40.86899870940162),2,Bronx,207,11,81,34,13,3522,77,Municipal Facilities,backed 2,07/03/2017,25 W 195th Street,25 W 195th Street,195th Street,Jerome Avenue & Reservoir Avenue,Bronx,207,Not Applicable,Not Applicable,40.869007,-73.89749,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82609363574217 40.85231004751419),2,Bronx,228,13,82,34,14,3569,23,Bus Route,backless 2,02/04/2017,Charles J Cimi Plaza,Charles J Cimi Plaza,Bruckner Expressway,Wilkinson Avenue & Westchester Avenue,Bronx,210,Not Applicable,Not Applicable,40.8523100475,-73.8260936357,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91024557412989 40.85450671235541),2,Bronx,205,14,86,29,15,2096,776,Community Health Centers,backed,08/07/2013,70 West Burnside Avenue,70 West Burnside Avenue,Burnside Avenue,University and Harrison Avenues,Bronx,205,Not Applicable,Not Applicable,40.854515,-73.910247,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8839285807788 40.87405570789616),2,Bronx,207,11,78,36,13,1795,470,General,backed,05/31/2013,264 East 204th Street,264 East 204th Street,East 204th Street,E Mosholu Parkway & Grand Concourse,Bronx,207,Not Applicable,Not Applicable,40.874064,-73.88393,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87150258426458 40.878609706437544),2,Bronx,207,11,80,36,13,3534,649,Bus Route,backless,02/04/2017,400 E Gun Hill Road,400 E Gun Hill Road,400 E Gun Hill Road,Bronx River Parkway & Webster Avenue,Bronx,207,Not Applicable,Not Applicable,40.878618,-73.871504,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88298858113204 40.867651708904404),2,Bronx,207,11,78,34,13,2141,1053,General,backed,10/25/2013,2971 Webster Avenue,2971 Webster Avenue,Webster Avenue,Bedford Park Boulevard and Botanical Square,Bronx,207,Not Applicable,Not Applicable,40.86766,-73.88299,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90722357704135 40.81585572006793),2,Bronx,201,8,84,29,15,3121,1982,General,backed,08/06/2015,745 E 152nd Street,668 Westchester Avenue,Westchester Avenue,Westchester Avenues & Tinton Avenue,Bronx,201,Not Applicable,Not Applicable,40.815864,-73.907225,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88819758238343 40.816969719023),2,Bronx,202,17,85,32,15,1785,675,General,backed,07/08/2013,809 Hunts Point Avenue,809 Hunts Point Avenue,Hunts Point Avenue,Lafayette Avenue & Gilbert Place,Bronx,202,Not Applicable,Not Applicable,40.816978,-73.888199,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87837558157983 40.88136770656445),2,Bronx,207,11,81,36,13,2220,1163,Senior Center,backed,12/02/2013,3518 Bainbridge Avenue,3518 Bainbridge Avenue,Bainbridge Avenue,East Gun Hill Road and East 211th Street,Bronx,207,Not Applicable,Not Applicable,40.881376,-73.878377,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91607557244329 40.849523713518025),2,Bronx,205,14,77,29,15,2098,783,Community Health Centers,backless,08/07/2013,1700 Macombs Road,1700 Macombs Road,Macombs Road,176th Street and University Avenue,Bronx,205,BX18,Not Applicable,40.849532,-73.916077,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90709924629027 40.880109294477016),2,Bronx,208,11,81,34,13,1132,519,General,backless,03/27/2013,265 West 231st Street,265 West 231st Street,231st Street,Kingsbridge & Corlear Avenue,Bronx,208,BX1,Not Applicable,40.8801092945,-73.9070992463,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89390058047813 40.82243471829932),2,Bronx,202,17,85,32,15,2709,1302,Municipal Facilities,backed,09/15/2014,977 Fox Street,948 Tiffany Street,Tiffany Street,Westchester Avenue & East 163rd Street,Bronx,202,Not Applicable,Not Applicable,40.822443,-73.893902,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86683622049773 40.856627392949626),2,Bronx,211,13,80,34,14,3669,44,Bus Route,backless 2,03/11/2017,720 Pelham Parkway South,720 Pelham Parkway South,Pelham Parkway South,Whiteplains Road & Cruger Avenue,Bronx,211,BX12,Not Applicable,40.8566273929,-73.8668362205,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90421357183752 40.90638470230959),2,Bronx,208,11,81,34,16,2834,536,General,backless 2,12/23/2014,5684 Riverdale Avenue,5684 Riverdale Avenue,Riverdale Avenue,West 258th Street & West 259th Street,Bronx,208,Not Applicable,Not Applicable,40.906393,-73.904215,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86999858580108 40.86535670907168),2,Bronx,211,15,80,34,14,3876,262,AAR,backed,08/23/2017,612 Allerton Avenue,2526 Bronx Park East,Bronx Park East,Bronx Park East & Barker Avenue,Bronx,211,Not Applicable,Not Applicable,40.865365,-73.87,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84796459622251 40.818677717078685),2,Bronx,209,18,87,32,15,3601,1692,Bus Route,backless,07/06/2017,575 Castle Hill Avenue,575 Castle Hill Avenue,Castle Hill Avenue,Randall Avenue & Lacombe Avenue,Bronx,209,BX28,Not Applicable,40.818686,-73.847966,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.81166860781676 40.81537171645267),2,Bronx,210,13,82,34,14,1531,401,General,backed,01/14/2013,150 Throgs Neck Blvd,150 Throgs Neck Blvd,Throgs Neck Blvd,Schurz Road and Harding Avenue,Bronx,210,Not Applicable,Not Applicable,40.81538,-73.81167,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.90063765404835 40.848251681096045),2,Bronx,206,15,86,33,15,2186,1079,General,backless,10/23/2013,1924 Webster Avenue,1924 Webster Avenue,Webster Avenue,E Tremont Avenue & E178th Street,Bronx,206,BX41,Not Applicable,40.8482516811,-73.900637654,X,AREA OF MINIMAL FLOOD HAZARD,
