the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.95032656206519 40.826567719130175),1,Manhattan,109,7,71,31,13,3556,0,Bus Route,backless,02/14/2017,3542 Broadway,592 W 145th Street,W 145th Street,W 145th Street & W 146th Street,Manhattan,112,BX19,Not Applicable,40.826576,-73.950328,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9215855696869 40.860835711632895),1,Manhattan,112,10,72,31,13,2331,80,General,backless 2,03/25/2017,3754 10th Avenue,3754 10th Avenue,10th Avenue,201st & 202nd Street,Manhattan,112,M100,Not Applicable,40.860844,-73.921587,AE,,2
POINT (-73.91915202583036 40.86829148296409),1,Manhattan,112,10,72,31,13,2274,518,General,backless,04/30/2018,4986 Broadway,4986 Broadway,Broadway,W 211th & W 212th Street,Manhattan,112,M100,Not Applicable,40.868291483,-73.9191520258,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.9557485633816 40.77452772983164),1,Manhattan,108,5,76,28,12,3688,242,Senior Safety,backed,08/03/2017,245 E. 80th Street,245 E. 80th Street,E. 80th Street,2nd Avenue & 3rd Avenue,Manhattan,108,Not Applicable,Not Applicable,40.774536,-73.95575,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94554756400889 40.833119717705664),1,Manhattan,112,7,71,31,13,3059,1885,General,backed,02/05/2015,3740 Broadway,3740 Broadway,Broadway,West 155th Street & West 156th Street,Manhattan,112,M4,Not Applicable,40.833128,-73.945549,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93943156700753 40.80737472234206),1,Manhattan,111,9,68,30,13,2776,1494,Municipal Facilities,backed,12/08/2014,2005 Madison Avenue,91 East 127th Street,East 127th Street,East 127th Street & East 128th Street,Manhattan,111,Not Applicable,Not Applicable,40.807383,-73.939433,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93627756589059 40.845842715249354),1,Manhattan,112,10,72,31,13,3153,1593,General,backed,09/12/2015,1313 St Nicholas Avenue,1313 St Nicholas Avenue,St Nicholas Avenue,W 175 Street & W 176 Street,Manhattan,112,Not Applicable,Not Applicable,40.845851,-73.936279,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97944655572502 40.78955872721958),1,Manhattan,107,6,67,31,10,2128,975,Senior Center,backed,03/24/2014,333 West 86th Street,333 West 86th Street,West 86th Street,Riverside Drive and West End Avenue,Manhattan,107,Not Applicable,Not Applicable,40.789567,-73.979448,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94169756698395 40.7977467251452),1,Manhattan,111,8,68,30,13,3686,0,General,backed,02/14/2017,158 E 115th Street,158 E 115th Street,E 115th Street,Lexington Avenue & 3rd Avenue,Manhattan,111,Not Applicable,Not Applicable,40.797755,-73.941699,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9768535562723 40.780813728828264),1,Manhattan,107,6,67,29,10,1831,445,General,backed,03/25/2013,100 West 77th Street,100 West 77th Street,Columbus Avenue,76th Street & 77th Street,Manhattan,107,Not Applicable,Columbus Avenue,40.780822,-73.976855,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9340035695616 40.79539372448657),1,Manhattan,111,8,68,29,13,3355,104,Municipal Facilities,backed,09/15/2016,440 E 116th Street,440 E 116th Street,E 116th Street,1st Avenue & Pleasant Avenue,Manhattan,111,Not Applicable,Not Applicable,40.795402,-73.934005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.94832956234207 40.82934171855125),1,Manhattan,109,7,71,30,13,3004,1972,Municipal Facilities,backless,01/23/2015,3635 Broadway,3635 Broadway,Broadway,West 149th Street & West 150th Street,Manhattan,109,M5,Not Applicable,40.82935,-73.948331,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95822916455306 40.76476221018549),1,Manhattan,108,5,76,28,12,3033,1219,Municipal Facilities,backless,12/15/2014,1245 1st Avenue,1245 1st Avenue,67th Street,1st Avenue and 2nd Avenue,Manhattan,108,M66,Not Applicable,40.7647622102,-73.9582291646,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95303956211394 40.817541721275276),1,Manhattan,109,9,70,31,13,2789,1475,Municipal Facilities,backed,12/05/2014,499 West 133rd Street,499 West 133rd Street,West 133rd Street,Convent Avenue & Amsterdam Avenue,Manhattan,109,Not Applicable,Not Applicable,40.81755,-73.953041,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99729155247505 40.74477473724793),1,Manhattan,104,3,75,27,12,1113,1801,Senior Center,backless,12/19/2012,260 West 23rd Street,260 W 23rd Street,West 23rd Street,8th Avenue & 7th Avenue,Manhattan,104,M23,Not Applicable,40.744783,-73.997293,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93840556480296 40.84629071535887),1,Manhattan,112,10,72,31,13,3337,9012,Plaza,backless,12/01/2015,4140 Broadway,4140 Broadway,W. 175th Street,W. 175th Street & W. 176th Street,Manhattan,112,Not Applicable,Not Applicable,40.846299,-73.938407,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9661715611344 40.761380732492306),1,Manhattan,108,4,73,28,12,2926,1453,General,backed,12/10/2014,205 East 59th Street,999 3rd Ave,3rd Avenue,E. 59th Street & E. 60th Street,Manhattan,108,Not Applicable,East Midtown Partnership,40.761389,-73.966173,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0135495496801 40.70807674453967),1,Manhattan,101,1,65,26,10,1019,164,BID,backed,07/11/2012,94 Greenwich Street,94 Greenwich Street,Greenwich Street,Rector Streets and Washington Streets,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.708085,-74.013551,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.9864745570227 40.71586074199739),1,Manhattan,103,1,65,26,12,810,249,General,backed,09/28/2012,411 Grand Street,411 Grand Street,Clinton Street,Grand Street & Clinton Street,Manhattan,103,Not Applicable,Not Applicable,40.715869,-73.986476,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97957455889063 40.737306738002594),1,Manhattan,106,2,74,27,12,2196,700,General,backless,10/07/2013,352 E 23rd Street,352 E 23rd Street,E 23rd Street,1st Avenue and 2nd Avenue,Manhattan,106,M09,Not Applicable,40.737315,-73.979576,X,AREA OF MINIMAL FLOOD HAZARD,4
