the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.84677860407454 40.6856577435641),4,Queens,409,32,38,15,7,3946,339,Bus Route,backed 2,11/13/2017,97-27 Woodhaven Blvd,97-27 Woodhaven Blvd,Woodhaven Blvd,101st Avenue & 97th Avenue,Queens,0,Q52,Not Applicable,40.685666,-73.84678,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.83050360793445 40.71367773686963),4,Queens,409,29,28,14,6,2366,1123,Senior Center,backed,02/10/2014,80-02 Kew Gardens Road,80-02 Kew Gardens Road,80th Road,Queens Blvd & 80th Road,Queens,409,Not Applicable,Not Applicable,40.713686,-73.830505,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.70139064724336 40.73881272795706),4,Queens,413,23,33,11,3,2019,1077,General,backless,10/29/2013,267-17 Hillside Avenue,267-17 Hillside Avenue,Hillside Avenue,267th & 268th Street,Queens,413,Q43,Not Applicable,40.738821,-73.701392,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78379661918026 40.776372723321614),4,Queens,407,19,26,11,3,3071,1837,General,backed,06/02/2015,208-11 26th Avenue,208-11 26th Avenue,208-11 26th Avenue,Celarview Expwy & Corporal Kennedy Street,Queens,407,Not Applicable,Not Applicable,40.776381,-73.783798,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90714026140618 40.77306814059568),4,Queens,401,22,36,13,14,3382,2460,Municipal Facilities,backed,12/03/2016,22-11 38th Street,22-11 38th Street,38th Street,38th Street & Steinway Street,Queens,401,Not Applicable,Not Applicable,40.7730681406,-73.9071402614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87812059140951 40.736393734684995),4,Queens,404,25,35,16,6,664,426,General,backless,02/14/2013,87-09 Grand Avenue,87-09 Grand Avenue,Grand Avenue,Queens Boulevard & Seabury Street,Queens,404,Q58,Not Applicable,40.736402,-73.878122,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.7388326347776 40.75553672555852),4,Queens,411,23,25,11,3,1947,576,General,backed,07/03/2013,242-02 61st Avenue,242-02 61st Avenue,Douglaston Parkway,61st Avenue & 65th Avenue,Queens,411,Q30,Not Applicable,40.755545,-73.738834,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82609060733185 40.75149972937553),4,Queens,407,20,25,16,6,3359,330,General,backed,07/13/2016,43-50 Main Street,43-50 Main Street,Main Street,Elder Avenue & Peck Avenue,Queens,407,Not Applicable,Not Applicable,40.751508,-73.826092,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.75265263363269 40.69827073733982),4,Queens,412,27,33,14,5,3321,202,Municipal Facilities,backed,07/06/2016,201-15 115th Avenue,201-15 115th Avenue,115th Avenue,201st Street & 202nd Street,Queens,412,Not Applicable,Not Applicable,40.698279,-73.752654,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1852,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.71913063186288 40.74327903962931),4,Queens,413,23,24,11,3,2387,970,General,backed,05/07/2014,251-15 Union Turnpike,251-15 Union Turnpike,252nd Street,"Union Turnpike, 80th Avenue & 251st Street",Queens,413,Not Applicable,Not Applicable,40.7432790396,-73.7191306319,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92164374163025 40.7634723205554),4,Queens,401,22,36,12,12,1808,527,General,backed 2,06/11/2013,33-21 31st Avenue,33-21 31st Avenue,31st Avenue,34th Street & 33rd Street,Queens,401,Not Applicable,Not Applicable,40.7634723206,-73.9216437416,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77942562350887 40.71369273538245),4,Queens,412,27,29,11,5,3677,104,Senior Safety,backed 2,05/13/2017,182-46 Hillside Avenue,182-46 Hillside Avenue,Hillside Avenue,182nd Place & 183rd Street,Queens,412,Not Applicable,Not Applicable,40.713701,-73.779427,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92907457462115 40.74350073458311),4,Queens,402,26,37,12,14,1937,661,General,backed,07/03/2013,45-30 36th Street,45-30 36th Street,36th Street,Queens Blvd & 47th Avenue,Queens,402,Not Applicable,Not Applicable,40.743509,-73.929076,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8443546029465 40.721613736037995),4,Queens,406,29,28,16,6,1655,2030,Senior Center,backless,03/05/2013,107-55 Queens Boulevard,107-55 Queens Blvd,Queens Blvd,71st Avenue & 70th Road,Queens,406,Q60,Not Applicable,40.721622,-73.844356,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78044262160627 40.753202727550175),4,Queens,411,20,25,11,6,489,533,Bus Route,backless,04/12/2013,47-01 Francis Lewis Boulevard,47-01 Francis Lewis Boulevard,47th Avenue & Weeks Lane,Francis Lewis Boulevard,Queens,411,Q27,Not Applicable,40.753211,-73.780444,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,0,Plaza,backed 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88048858851508 40.75607273112447),4,Queens,403,25,34,13,14,2002,792,General,backless,07/08/2013,87-15 Northern Boulevard,87-15 Northern Boulevard,Northern Boulevard,87th Street & 88th Street,Queens,403,Q66,Not Applicable,40.756081,-73.88049,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86358059596542 40.728131735806514),4,Queens,406,29,28,16,6,1791,676,General,backed,06/19/2013,93-06 63rd Drive,93-06 63rd Drive,63rd Drive,Queens Boulevard & Wetherole Street,Queens,406,Not Applicable,Not Applicable,40.72814,-73.863582,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86832959323891 40.75735273037386),4,Queens,403,21,35,13,14,2543,816,Municipal Facilities,backed,06/11/2014,100-01 Northern Boulevard,100-01 Northern Boulevard,Northern Bouleverd,100th Street and 101st Street,Queens,403,Not Applicable,Not Applicable,40.757361,-73.868331,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88136158880542 40.75004073234791),4,Queens,403,21,34,13,14,3940,515,Senior Safety,backed,02/06/2018,8502 37th Avenue,8502 37th Avenue,37th Avenue,85th Street & 86th Street,Queens,403,Not Applicable,Not Applicable,40.750049,-73.881363,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87157659341877 40.73383973455544),4,Queens,404,25,35,16,6,2613,1296,General,backed,08/04/2014,90-15 Queens Boulevard,90-15 Queens Boulevard,59th Avenue,57th & 59th Avenue,Queens,404,Not Applicable,Not Applicable,40.733848,-73.871578,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.85200860179808 40.693341741821264),4,Queens,409,32,38,15,7,3943,340,Bus Route,backed 2,11/13/2017,87-14 Woodhaven Blvd,87-14 Woodhaven Blvd,Woodhaven Blvd,Jamaica Avenue & 88th Avenue,Queens,0,Q52,Not Applicable,40.69335,-73.85201,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91836657592165 40.767658730060695),4,Queens,401,22,36,12,12,2303,1170,General,backed,12/12/2013,33-02 28th Avenue,33-02 28th Avenue,28th Avenue,33rd & 34th Street,Queens,401,Not Applicable,Not Applicable,40.767667,-73.918368,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,399,Plaza,backless 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9184215776869 40.743123734345616),4,Queens,402,26,37,12,14,2516,1243,BID,backed,07/25/2014,46-21 Queens Boulevard,46-21 Queens Boulevard,Queens Boulevard,46th Street & 47th Street,Queens,402,Not Applicable,Sunnyside Shines,40.743132,-73.918423,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9059705834822 40.71288374036419),4,Queens,405,30,37,15,6,1503,486,General,backless,06/12/2013,5802 Metropolitan Avenue,5802 Metropolitan Avenue,Metropolitan Avenue,Forest Avenue & 60th Street,Queens,405,Q54,Not Applicable,40.712892,-73.905972,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93035657339631 40.7568687321989),4,Queens,401,26,30,12,12,4137,0,Other,backless,05/01/2018,30-13 36th Avenue,30-13 36th Avenue,31st Street,35th & 36th Avenue,Queens,401,Not Applicable,Not Applicable,40.756877,-73.930358,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76766978796856 40.69238113233924),4,Queens,412,27,29,14,5,3619,121,General,backed 2,05/13/2017,179-24 Linden Blvd,179-24 Linden Blvd,Linden Blvd,Newburg Street & 180th Street,Queens,412,Not Applicable,Not Applicable,40.6923811323,-73.767669788,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.89063858623742 40.74908173233256),4,Queens,403,25,39,13,14,4106,792,General,backed 2,02/07/2019,75-07 37th Avenue,75-07 37th Avenue,37th Avenue,75th Street & 76th Street,Queens,403,Not Applicable,Not Applicable,40.74909,-73.89064,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93179557174751 40.765090731075055),4,Queens,401,22,36,12,12,2945,1781,Municipal Facilities,backless,11/06/2014,32-09 21st Street,21-10 Broadway,Broadway,21st Street & 23rd Street,Queens,401,Q104,Not Applicable,40.765099,-73.931797,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.81059861649621 40.67955174363187),4,Queens,410,28,31,10,5,3242,2380,Municipal Facilities,backed,05/18/2016,130-02 115th Avenue,130-02 115th Avenue,115th Avenue,130th Street & 131st Street,Queens,410,Not Applicable,Not Applicable,40.67956,-73.8106,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8783485905863 40.739783734147736),4,Queens,404,25,35,16,6,3013,1440,General,backed,02/02/2015,84-20 Broadway,84-20 Broadway,Broadway,St. James Avenue and Corona Avenue,Queens,404,Not Applicable,Not Applicable,40.739792,-73.87835,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.70281564613394 40.751867725267005),4,Queens,413,23,26,11,3,2213,1097,General,backed,12/09/2013,271-11 Union Turnpike,271-11 Union Turnpike,Union Turnpike,271st Street and Hewlett Street,Queens,413,Q46,Not Applicable,40.751876,-73.702817,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91855557791779 40.74313973484147),4,Queens,402,26,37,12,14,1074,184,BID,backed,09/11/2012,46-01 Queens Blvd,46-01 Queens Blvd,46th Street,46th Street and Carolyn Avenue,Queens,402,Not Applicable,Sunnyside Shines,40.743148,-73.918557,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75320563560811 40.65611774615174),4,Queens,413,31,31,10,5,3240,3240,Municipal Facilities,backed,05/25/2016,148-15 230th Street,148-15 230th Street,230th Street,148th Avenue & 149th Avenue,Queens,413,Not Applicable,Not Applicable,40.656126,-73.753207,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.87364059195588 40.74872373230536),4,Queens,403,21,34,13,14,2492,1179,General,backed,06/10/2014,93-01 Roosevelt Avenue,93-01 Roosevelt Avenue,93rd Street,93rd Street and 94th Street,Queens,403,Not Applicable,Not Applicable,40.748732,-73.873642,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93401657152123 40.77164572997865),4,Queens,401,22,37,12,12,4009,4444,Municipal Facilities,backed 2,02/13/2018,30-01 Vernon Blvd,30-01 Vernon Blvd,Vernon Blvd,Wellington Court & 30th Road,Queens,401,Not Applicable,Not Applicable,40.771654,-73.934018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.82040361328791 40.67201374530561),4,Queens,410,32,31,10,5,587,131,Bus Route,backless,06/29/2012,133-55 Lefferts Boulevard,133-55 Lefferts Boulevard,Lefferts Boulevard,135th Avenues and 133rd Avenues,Queens,410,Q10,Not Applicable,40.672022,-73.820405,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8622025954163 40.75086273118623),4,Queens,403,21,39,13,14,2544,945,Municipal Facilities,backed,06/11/2014,38-23 104th Street,38-23 104th Street,104th Street,38th Avenue and 39th Avenue,Queens,403,Not Applicable,Not Applicable,40.750871,-73.862204,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81522561379285 40.702474738977905),4,Queens,412,24,24,14,5,2071,709,Community Health Centers,backed,08/05/2013,137-50 Jamaica Avenue,137-50 Jamaica Avenue,138th Street,90th Avenue and Jamaica Avenue,Queens,412,Not Applicable,Not Applicable,40.702483,-73.815227,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77892162547182 40.69170373975961),4,Queens,412,27,29,14,5,3616,101,General,backed 2,05/13/2017,171-10 Linden Blvd,171-10 Linden Blvd,Linden Blvd,Merrick Blvd & 172nd Street,Queens,412,Not Applicable,Not Applicable,40.691712,-73.778923,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.74387963217843 40.76537772411083),4,Queens,411,19,26,11,3,3057,1890,General,backed,02/03/2015,242-24 Northern Boulevard,242-24 Northern Boulevard,Northern Boulevard,Douglaston Parkway and 243rd Street,Queens,411,Not Applicable,Not Applicable,40.765386,-73.743881,X,AREA OF MINIMAL FLOOD HAZARD,
