the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-74.10526552481225 40.63062076310184),5,Staten Island,501,49,61,24,11,1683,308,Bus Route,backless,01/29/2013,475 Forest Avenue,475 Forest Avenue,Forest Avenue,Bard Avenue & Hoyt Avenue,Staten Island,501,S48,Not Applicable,40.630629,-74.105267,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.24411648741916 40.50902879225197),5,Staten Island,503,51,62,24,11,2639,1616,Municipal Facilities,backed,08/06/2014,58 Summit Street,330 Yetman Avenue,Yetman Avenue,Brighton Street and Yetman Avenue,Staten Island,503,Not Applicable,Not Applicable,40.509037,-74.244118,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.09135353029801 40.60222176805855),5,Staten Island,502,50,63,24,11,2647,1395,Municipal Facilities,backed,08/13/2014,1055 Targee Street,1055 Targee Street,Targee,Rome Avenue and Naples Avenue,Staten Island,502,Not Applicable,Not Applicable,40.60223,-74.091355,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.13531251553763 40.6253687648604),5,Staten Island,501,49,61,24,11,2377,634,General,backed,03/25/2014,1378 Forest Avenue,1378 Forest Avenue,Forest Avenue,Veltman Avenue & Burnside Avenue,Staten Island,501,S48,Not Applicable,40.625377,-74.135314,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.16946250896487 40.55251478073413),5,Staten Island,503,51,62,24,11,2682,1501,Municipal Facilities,backed,08/06/2014,380 Genesee Avenue,380 Genesee Avenue,Genesee Avenue,Wainwright Avenue & Richmond Avenue,Staten Island,503,Not Applicable,Not Applicable,40.552523,-74.169464,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.10821852673017 40.571977774863285),5,Staten Island,502,50,64,24,11,3655,2339,Senior Safety,backed,12/27/2016,2424 Hylan Blvd.,2424 Hylan Blvd.,Hylan Blvd.,Locust Avenue & Jacques Avenue,Staten Island,502,Not Applicable,Not Applicable,40.571986,-74.10822,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.08057853435092 40.59376176947364),5,Staten Island,502,50,64,23,11,2646,1345,Municipal Facilities,backed,08/13/2014,41 Reid Avenue,41 Reid Avenue,Reid Avenue,Oberlin Street and Parkinson Avenue,Staten Island,502,Not Applicable,Not Applicable,40.59377,-74.08058,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.15097026104392 40.62536822600401),5,Staten Island,501,49,61,23,11,2643,1607,Municipal Facilities,backed,08/11/2014,1860 Forrest Avenue,1860 Forrest Avenue,Forrest Avenue,Sanders Street and Richmond Avenue,Staten Island,501,Not Applicable,Not Applicable,40.625368226,-74.150970261,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.07953153331029 40.62448776382683),5,Staten Island,501,49,61,23,11,2232,1081,Community Health Centers,backless,10/28/2013,1 Tompkins Avenue,1 Tompkins Avenue,Tompkins Avenue,Broad Street and Tompkins Street,Staten Island,501,S52,Not Applicable,40.624496,-74.079533,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.1379795161174 40.60322376932298),5,Staten Island,502,50,63,24,11,2684,1221,Municipal Facilities,backed,08/11/2014,1060 Willowbrook Road,1060 Willowbrook Road,Willowbrook Road,Sheraden Avenue & Ardmore Avenue,Staten Island,502,Not Applicable,Not Applicable,40.603232,-74.137981,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.15828050848383 40.62627576602382),5,Staten Island,501,49,61,23,11,1680,1339,Bus Route,backless,01/29/2013,2069 Forest Avenue,2069 Forest Avenue,Forest Avenue,Union Avenue and Bruckner Avenue,Staten Island,501,S48,Not Applicable,40.626284,-74.158282,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.116527527725 40.57380605848301),5,Staten Island,502,50,64,24,11,3666,14,Bus Route,backed 2,01/28/2017,32 New Dorp Plaza South,32 New Dorp Plaza South,New Dorp Lane,N. Railroad Avenue & S. Railroad Avenue,Staten Island,502,S76,Not Applicable,40.5738060585,-74.1165275277,X,AREA OF MINIMAL FLOOD HAZARD,
