OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
11112,2,Free,LinkNYC - Citybridge,bx-07-145853,2620 BRIGGS AVENUE,40.8648700001,-73.8927999994,1013900.9876,254391.24422,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018398,10/26/2017,2,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,399,399,2000000,2032930050,4555,"(40.8648700001, -73.8927999994)"
12882,2,Free,LinkNYC - Citybridge,bx-07-145690,30 EAST KINGSBRIDGE ROAD,40.8670379998,-73.8965369996,1012866.41946,255179.887656,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005579,11/08/2016,2,Bronx,BX05,Bedford Park-Fordham North,14,10468,207,401,401,2014144,2031910040,3736,"(40.8670379998, -73.8965369996)"
9770,2,Free,LinkNYC - Citybridge,bx-01-142736,613 WESTCHESTER AVENUE,40.8161882102,-73.9099166103,1009184.8599,236649.324979,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014393,06/26/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,75,75,2115751,2026240090,4887,"(40.8161882102, -73.9099166103)"
12091,2,Free,LinkNYC - Citybridge,bx-07-119564,48 WEST FORDHAM ROAD,40.8626436497,-73.9032440399,1011013.1151,253576.735678,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000070,09/15/2016,2,Bronx,BX30,Kingsbridge Heights,14,10468,207,253,253,2014307,2031990020,3046,"(40.8626436497, -73.9032440399)"
12096,2,Free,LinkNYC - Citybridge,bx-05-119570,100 E Fordham Rd,40.8620857697,-73.8995205706,1012043.27544,253374.637985,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000087,07/20/2017,2,Bronx,BX40,Fordham South,14,10468,205,237,237,2013908,2031730030,3051,"(40.8620857697, -73.8995205706)"
11874,2,Free,LinkNYC - Citybridge,bx-05-119598,51 EAST TREMONT AVENUE,40.8513290003,-73.9082660006,1009628.3367,249452.881721,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-011271,01/12/2018,2,Bronx,BX41,Mount Hope,14,10453,205,241,241,2007940,2028290030,4038,"(40.8513290003, -73.9082660006)"
11043,2,Free,LinkNYC - Citybridge,bx-01-123208,2883 3 AVENUE,40.8166922997,-73.9167190694,1007301.78197,236831.119563,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-012921,10/26/2017,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,65,65,2001336,2023740000,4240,"(40.8166922997, -73.9167190694)"
12505,2,Free,LinkNYC - Citybridge,bx-05-119606,2374 JEROME AVENUE,40.8606299996,-73.9023689997,1011255.97255,252843.353943,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001780,07/01/2016,2,Bronx,BX40,Fordham South,14,10468,205,239,239,2014093,2031880000,3590,"(40.8606299996, -73.9023689997)"
9627,2,Free,LinkNYC - Citybridge,bx-04-146078,247 EAST 169 STREET,40.8357344401,-73.9139604204,1008058.54883,243769.601421,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020557,08/02/2018,2,Bronx,BX14,East Concourse-Concourse Village,16,10456,204,17902,17902,2000000,2028300070,4826,"(40.8357344401, -73.9139604204)"
12325,2,Free,LinkNYC - Citybridge,bx-05-102420,126 EAST 183 STREET,40.8577559996,-73.9010909997,1011610.66574,251796.642126,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-001365,06/29/2016,2,Bronx,BX40,Fordham South,14,10453,205,237,237,2013867,2031710020,3508,"(40.8577559996, -73.9010909997)"
