OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
10191,4,Free,LinkNYC - Citybridge,qu-01-145954,43-40 NORTHERN BOULEVARD,40.7536406401,-73.9184016594,1006857.44756,213858.819051,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020932,11/07/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,401,171,171,4441943,4001430500,4639,"(40.7536406401, -73.9184016594)"
11144,4,Free,LinkNYC - Citybridge,qu-04-145898,84-43 CORONA AVENUE,40.73933161,-73.8781299298,1018022.28677,208658.544347,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-019897,09/07/2017,4,Queens,QN50,Elmhurst-Maspeth,25,11373,404,485,485,4038727,4015460040,4587,"(40.73933161, -73.8781299298)"
11053,4,Free,LinkNYC - Citybridge,qu-01-125116,42-02 30 AVENUE,40.7629999999,-73.9132590006,1008278.88369,217270.106848,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-013082,07/10/2017,4,Queens,QN70,Astoria,22,11103,401,149,149,4011927,4006960040,4250,"(40.7629999999, -73.9132590006)"
12313,4,Free,LinkNYC - Citybridge,qu-02-124955,38-02 QUEENS BLVD,40.74387741,-73.9269261104,1004498.65076,210299.676563,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001160,02/21/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,402,179,179,4003169,4002230020,3496,"(40.74387741, -73.9269261104)"
12915,4,Free,LinkNYC - Citybridge,qu-06-124181,110-88 QUEENS BOULEVARD,40.7186019996,-73.8381840006,1029105.9293,201124.039403,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-006861,07/29/2016,4,Queens,QN17,Forest Hills,29,11375,406,769,769,4078802,4032930040,3769,"(40.7186019996, -73.8381840006)"
12297,4,Free,LinkNYC - Citybridge,qu-09-128371,80-55 KEW GARDENS ROAD,40.7131669699,-73.8298089703,1031431.35969,199148.295651,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001122,07/29/2016,4,Queens,QN60,Kew Gardens,29,11415,409,216,216,4080149,4033580000,3480,"(40.7131669699, -73.8298089703)"
10192,4,Free,LinkNYC - Citybridge,qu-01-145921,35-12 35 AVENUE,40.7565208602,-73.9252146106,1004968.97167,214906.491497,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020933,10/09/2017,4,Queens,QN70,Astoria,26,11106,401,57,57,4009594,4006390020,4640,"(40.7565208602, -73.9252146106)"
12814,4,Free,LinkNYC - Citybridge,qu-12-141550,166-01 JAMAICA AVENUE,40.7059714299,-73.7937866001,1041423.84791,196548.206035,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-000793,09/23/2016,4,Queens,QN61,Jamaica,27,11432,412,460,460,4209622,4097960020,3318,"(40.7059714299, -73.7937866001)"
10240,4,Free,LinkNYC - Citybridge,qu-02-146059,47-43 VERNON BOULEVARD,40.7443204903,-73.9534837102,997139.500128,210456.081434,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020994,04/24/2018,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,402,7,7,4000266,4000450000,4645,"(40.7443204903, -73.9534837102)"
12308,4,Free,LinkNYC - Citybridge,qu-02-124939,59-40 QUEENS BOULEVARD,40.7412880001,-73.9046559997,1010670.68534,209362.205013,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001149,01/05/2017,4,Queens,QN63,Woodside,26,11377,402,245,245,4432196,4023140000,3491,"(40.7412880001, -73.9046559997)"
10273,4,Free,LinkNYC - Citybridge,qu-01-145934,33-20 30 AVENUE,40.765785254,-73.9191729969,1006639.65993,218283.299376,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-021329,10/09/2017,4,Queens,QN70,Astoria,22,11103,401,63,63,4009036,4006250050,4678,"(40.765785254, -73.9191729969)"
11903,4,Free,LinkNYC - Citybridge,qu-01-125042,36-35 33 STREET,40.7541882302,-73.9293986402,1003810.48941,214055.676925,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-011536,03/14/2018,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11106,401,55,55,4007954,4006020010,4067,"(40.7541882302, -73.9293986402)"
11188,4,Free,LinkNYC - Citybridge,qu-01-125148,30-01 STEINWAY STREET,40.7636860602,-73.9150512395,1007782.15765,217519.574525,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-013594,06/29/2017,4,Queens,QN70,Astoria,22,11103,401,149,149,4011253,4006800050,4313,"(40.7636860602, -73.9150512395)"
11732,4,Free,LinkNYC - Citybridge,qu-01-133970,30-01 30 AVENUE,40.7673067797,-73.92211147,1005825.18912,218836.903911,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-010981,01/10/2018,4,Queens,QN71,Old Astoria,22,11102,401,71,71,4007687,4005950010,3968,"(40.7673067797, -73.92211147)"
12001,4,Free,LinkNYC - Citybridge,qu-01-125095,25-14 BROADWAY,40.7630995,-73.9279352805,1004213.25009,217302.672728,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-011770,06/14/2017,4,Queens,QN70,Astoria,22,11106,401,53,53,4007157,4005800020,4088,"(40.7630995, -73.9279352805)"
12296,4,Free,LinkNYC - Citybridge,qu-09-108790,124-05 JAMAICA AVENUE,40.7009264299,-73.8262048802,1032439.35341,194690.669396,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001116,06/06/2017,4,Queens,QN54,Richmond Hill,29,11418,409,142,142,4193857,4092780080,3479,"(40.7009264299, -73.8262048802)"
11956,4,Free,LinkNYC - Citybridge,qu-04-145772,89-30 QUEENS BOULEVARD,40.7341620004,-73.8736580003,1019264.25083,206776.850276,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-018140,04/10/2017,4,Queens,QN29,Elmhurst,25,11373,404,475,475,4064868,4028570020,4504,"(40.7341620004, -73.8736580003)"
11183,4,Free,LinkNYC - Citybridge,qu-01-125170,21-01 BROADWAY,40.7651601902,-73.93142777,1003245.17886,218052.673196,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-013527,05/17/2017,4,Queens,QN70,Astoria,22,11106,401,77,77,4006385,4005540020,4308,"(40.7651601902, -73.93142777)"
11837,4,Free,LinkNYC - Citybridge,qu-03-146071,79-20 37 AVENUE,40.7494585504,-73.8864554498,1015710.36128,212345.008759,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-022685,04/12/2018,4,Queens,QN28,Jackson Heights,25,11372,403,285,285,4449493,4012900000,4457,"(40.7494585504, -73.8864554498)"
10177,4,Free,LinkNYC - Citybridge,qu-01-145923,38-02 31 St,40.7537182203,-73.9322156401,1003030.15698,213883.820642,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020833,02/12/2018,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,31,31,4004609,4003830010,4633,"(40.7537182203, -73.9322156401)"
11854,4,Free,LinkNYC - Citybridge,qu-03-134080,77-01 ROOSEVELT AVENUE,40.7472234296,-73.888492,1015147.12094,211529.958223,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-011172,08/25/2017,4,Queens,QN28,Jackson Heights,25,11372,403,287,287,4029906,4012880050,4018,"(40.7472234296, -73.888492)"
11140,4,Free,LinkNYC - Citybridge,qu-01-145922,33-09 BROADWAY,40.7610889998,-73.9233410004,1005486.59072,216571.262117,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-019889,10/13/2017,4,Queens,QN70,Astoria,22,11106,401,61,61,4008873,4006230010,4583,"(40.7610889998, -73.9233410004)"
11968,4,Free,LinkNYC - Citybridge,qu-02-145743,45-01 42 STREET,40.7433122897,-73.9224012404,1005752.66663,210094.863653,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-018161,03/20/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11104,402,181,181,4540182,4001690020,4516,"(40.7433122897, -73.9224012404)"
11983,4,Free,LinkNYC - Citybridge,qu-02-145783,10-31 JACKSON AVENUE,40.7422871697,-73.9533364696,997180.694599,209715.299779,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-018209,03/22/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,402,7,7,4000229,4000410020,4531,"(40.7422871697, -73.9533364696)"
12303,4,Free,LinkNYC - Citybridge,qu-06-124200,98-04 QUEENS BOULEVARD,40.7282989999,-73.8580760006,1023586.08241,204647.39128,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001134,11/30/2016,4,Queens,QN17,Forest Hills,29,11374,406,713,713,4072158,4030860010,3486,"(40.7282989999, -73.8580760006)"
9791,4,Free,LinkNYC - Citybridge,qu-03-125399,85-10 NORTHERN BOULEVARD,40.7558349998,-73.881778,1017003.22976,214669.867954,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001473,06/28/2018,4,Queens,QN28,Jackson Heights,25,11372,403,281,281,4035201,4014330000,4908,"(40.7558349998, -73.881778)"
11969,4,Free,LinkNYC - Citybridge,qu-02-145779,40-02 QUEENS BOULEVARD,40.7435549998,-73.9241560003,1005266.34509,210182.864789,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-018166,04/18/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11104,402,181,181,4002571,4001930030,4517,"(40.7435549998, -73.9241560003)"
10244,4,Free,LinkNYC - Citybridge,qu-02-146061,10-50 44 DRIVE,40.7484970002,-73.9498550004,998144.131649,211978.272287,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-021069,05/31/2018,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,402,7,7,4000429,4000510020,4649,"(40.7484970002, -73.9498550004)"
11150,4,Free,LinkNYC - Citybridge,qu-04-145915,75-10 BROADWAY,40.7460455796,-73.8901212898,1014696.20878,211100.259608,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-019904,09/05/2017,4,Queens,QN29,Elmhurst,25,11373,404,267,267,4036729,4014860010,4593,"(40.7460455796, -73.8901212898)"
11031,4,Free,LinkNYC - Citybridge,qu-03-139617,37-65 95 STREET,40.7490896695,-73.8718174082,1019766.39123,212216.209804,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-012822,02/21/2018,4,Queens,QN28,Jackson Heights,21,11372,403,273,273,4036632,4014830060,4228,"(40.7490896695, -73.8718174082)"
11912,4,Free,LinkNYC - Citybridge,qu-01-125105,45-02 30 AVENUE,40.76191296,-73.9109386203,1008922.07499,216874.707705,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-011599,06/26/2017,4,Queens,QN70,Astoria,22,11103,401,151,151,4012674,4007140080,4072,"(40.76191296, -73.9109386203)"
11237,4,Free,LinkNYC - Citybridge,qu-01-142874,36-01 BROADWAY,40.7600949999,-73.9212160003,1006075.59807,216209.63784,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-010337,08/02/2017,4,Queens,QN70,Astoria,22,11106,401,61,61,4009836,4006490010,3867,"(40.7600949999, -73.9212160003)"
