OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
12500,5,Free,LinkNYC - Citybridge,si-02-125476,19 SEAVIEW AVENUE,40.5909830002,-74.1007320003,956273.280351,154603.543533,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-001752,02/28/2017,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10304,502,96,96,5048677,5033050090,3585,"(40.5909830002, -74.1007320003)"
11107,5,Free,LinkNYC - Citybridge,si-02-145807,2066 HYLAN BOULEVARD,40.5798387882,-74.1000124032,956468.501417,150543.200932,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-018389,05/25/2017,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10306,502,112,112,5158060,5036720000,4550,"(40.5798387882, -74.1000124032)"
11102,5,Free,LinkNYC - Citybridge,si-02-145734,2381 HYLAN BOULEVARD,40.5728504701,-74.1075388295,954374.682114,147999.662056,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-018383,02/28/2017,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,122,122,5052790,5036450000,4545,"(40.5728504701, -74.1075388295)"
11118,5,Free,LinkNYC - Citybridge,si-02-145733,2110 RICHMOND ROAD,40.5813039997,-74.1120102804,953136.409,151081.046969,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-018407,03/02/2017,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,114,114,5095447,5035780010,4561,"(40.5813039997, -74.1120102804)"
11122,5,Free,LinkNYC - Citybridge,si-02-145835,1630 RICHMOND ROAD,40.5899077101,-74.10090436,956224.958925,154211.843529,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-018414,05/25/2017,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10304,502,114,114,5050552,5035300020,4565,"(40.5899077101, -74.10090436)"
12495,5,Free,LinkNYC - Citybridge,si-02-145544,2710 HYLAN BOULEVARD,40.56585176,-74.1142242602,952514.081505,145452.213083,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-001712,02/22/2017,5,Staten Island,SI25,Oakwood-Oakwood Beach,50,10306,502,128,128,5107584,5039830010,3580,"(40.56585176, -74.1142242602)"
10572,5,Free,LinkNYC - Citybridge,si-02-146098,1660 RICHMOND ROAD,40.5894883102,-74.1012707105,956123.03262,154059.16306,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-018411,07/19/2018,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10304,502,11401,11401,5050551,5035300000,4797,"(40.5894883102, -74.1012707105)"
12875,5,Free,LinkNYC - Citybridge,si-02-145809,2115 HYLAN BLVD,40.5788020001,-74.1016690004,956007.892759,150166.003196,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-005414,05/25/2017,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,114,114,5051504,5035750070,3729,"(40.5788020001, -74.1016690004)"
12799,5,Free,LinkNYC - Citybridge,si-02-145729,291 NEW DORP LANE,40.5721002603,-74.1126735896,952947.845729,147728.135368,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-005400,02/28/2017,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,122,122,5052754,5036430020,3726,"(40.5721002603, -74.1126735896)"
12501,5,Free,LinkNYC - Citybridge,si-02-145522,1177 HYLAN BOULEVARD,40.5983967327,-74.0826213606,961305.769958,157299.289454,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-001757,02/28/2017,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10305,502,96,96,5047160,5032080020,3586,"(40.5983967327, -74.0826213606)"
12800,5,Free,LinkNYC - Citybridge,si-02-145727,265 NEW DORP LANE,40.5726200002,-74.1133829994,952751.007868,147917.743585,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-005402,02/28/2017,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,122,122,5152363,5036437500,3727,"(40.5726200002, -74.1133829994)"
11103,5,Free,LinkNYC - Citybridge,si-02-145737,2361 HYLAN BOULEVARD,40.5734659897,-74.1069168496,954547.747713,148223.699338,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-018384,02/28/2017,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,122,122,5052769,5036440000,4546,"(40.5734659897, -74.1069168496)"
11130,5,Free,LinkNYC - Citybridge,si-02-145738,2754 HYLAN BOULEVARD,40.5647890002,-74.115318,952209.688741,145065.42219,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-019377,02/28/2017,5,Staten Island,SI25,Oakwood-Oakwood Beach,50,10306,502,128,128,5107591,5039830130,4573,"(40.5647890002, -74.115318)"
