the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.9492765697916 40.71113174228791),3,Brooklyn,301,34,53,18,7,3605,7,BID,backed 2,06/06/2019,561 Grand Street,561 Grand Street,Grand Street,Union Avenue & Lormier Street,Brooklyn,301,Not Applicable,Grand Street,40.71114,-73.949278,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.97665756756814 40.59660076512053),3,Brooklyn,311,47,47,22,11,3095,1673,General,backed,09/09/2015,203 Avenue U,203 Avenue U,Avenue U,W 5th Street & W 6th Street,Brooklyn,311,Not Applicable,Not Applicable,40.596609,-73.976659,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98657055817128 40.704151744668145),3,Brooklyn,302,33,52,26,7,3162,1983,BID,backed,09/09/2015,25 Jay Street,25 Jay Street,Jay Street,John Street & Plymouth Street,Brooklyn,302,Not Applicable,DUMBO Improvement District,40.70416,-73.986572,AE,,2
POINT (-73.96782256515971 40.68304074800283),3,Brooklyn,302,35,57,25,8,2239,0,BID,backed,,470 Vanderbilt Avenue,470 Vanderbilt,Fulton Street,Fulton Street & Atlantic Avenue,Brooklyn,302,B25,Fulton Area Business (FAB) Alliance,40.683049,-73.967824,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95267957174616 40.65274075342139),3,Brooklyn,317,40,43,20,9,3895,234,Bus Route,backless 2,08/17/2017,755 Rogers Avenue,755 Rogers Avenue,Rogers Avenue,Lenox Road & Linden Blvd,Brooklyn,317,B49,Not Applicable,40.652749,-73.952681,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00863155680005 40.61085676374994),3,Brooklyn,311,43,47,22,11,3982,440,General,backed 2,02/08/2018,1532 86th Street,1532 86th Street,86th Street,Bay 10th Street & Bay 11th Street,Brooklyn,311,Not Applicable,Not Applicable,40.610865,-74.008633,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98463544420225 40.61075149060178),3,Brooklyn,311,44,47,17,10,3793,291,Senior Safety,backed,01/10/2018,7023 Bay Pkwy,7023 Bay Pkwy,W 11th Street,Avenue O & Bay Pkwy,Brooklyn,311,Not Applicable,Not Applicable,40.6107514906,-73.9846354442,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.99104455925901 40.66753675214442),3,Brooklyn,306,39,52,21,7,2350,1989,General,backed,01/14/2014,515 4th Avenue,515 4th Avenue,4th Avenue & 14th Street,13th & 14th Street,Brooklyn,306,Not Applicable,Not Applicable,40.667545,-73.991046,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93880957632992 40.65133775285468),3,Brooklyn,317,45,58,21,9,354,156,Bus Route,backless,07/17/2012,4113 & 4115 Church Avenue,,Church Avenue,East 42nd Street and Albany Avenue,Brooklyn,317,B35,Not Applicable,40.651346,-73.938811,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00984355410914 40.64910275584311),3,Brooklyn,307,38,51,25,7,1610,390,General,backed,01/15/2013,4520 Fourth Avenue,4520 Fourth Avenue,4th Avenue,45th Street & 46th Street,Brooklyn,307,Not Applicable,Not Applicable,40.649111,-74.009845,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95533656925775 40.68265474749967),3,Brooklyn,303,36,57,25,8,2719,1441,Municipal Facilities,backed,10/06/2014,50 Jefferson Avenue,50 Jefferson Avenue,Jefferson Avenue,Franklin Avenue & Bedford Avenue,Brooklyn,303,Not Applicable,Not Applicable,40.682663,-73.955338,X,AREA OF MINIMAL FLOOD HAZARD,
