OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
12084,3,Free,LinkNYC - Citybridge,bk-02-126166,181 Court Street,40.6879008003,-73.9931469103,986150.575255,189897.318418,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-000049,01/05/2018,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,43,43,3002846,3002800020,3039,"(40.6879008003, -73.9931469103)"
12080,3,Free,LinkNYC - Citybridge,bk-02-126505,620 ATLANTIC AVENUE,40.6836250004,-73.9770060002,990627.361249,188340.282818,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-000044,07/25/2017,3,Brooklyn,BK37,Park Slope-Gowanus,35,11217,302,129,129,3348849,3020017500,3035,"(40.6836250004, -73.9770060002)"
12632,3,Free,LinkNYC - Citybridge,bk-16-126638,2208 FULTON STREET,40.6780789998,-73.9083739999,1009664.4823,186332.16938,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002348,01/17/2017,3,Brooklyn,BK79,Ocean Hill,37,11233,316,369,369,3042262,3015520040,3632,"(40.6780789998, -73.9083739999)"
12286,3,Free,LinkNYC - Citybridge,bk-17-126297,3301 CHURCH AVE,40.6510267597,-73.9465128704,999091.849241,176467.516209,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-001087,10/30/2017,3,Brooklyn,BK95,Erasmus,40,11203,317,818,818,3108643,3048700040,3469,"(40.6510267597, -73.9465128704)"
10320,3,Free,LinkNYC - Citybridge,bk-05-145942,3368 FULTON STREET,40.6838205904,-73.8713797301,1019922.57726,188436.894173,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-021920,12/07/2017,3,Brooklyn,BK83,Cypress Hills-City Line,37,11208,305,184,184,3092807,3041470040,4725,"(40.6838205904, -73.8713797301)"
11935,3,Free,LinkNYC - Citybridge,bk-08-145992,685 Franklin Ave,40.6751409996,-73.9562809996,996376.960314,185251.506187,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-018096,02/01/2018,3,Brooklyn,BK61,Crown Heights North,35,11216,308,221,221,3030857,3012240000,4483,"(40.6751409996, -73.9562809996)"
12643,3,Free,LinkNYC - Citybridge,bk-06-125928,63 5 AVENUE,40.6807317996,-73.9774460905,990505.574091,187286.174362,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002670,06/23/2017,3,Brooklyn,BK37,Park Slope-Gowanus,39,11217,306,129,129,3018705,3009350010,3643,"(40.6807317996, -73.9774460905)"
10258,3,Free,LinkNYC - Citybridge,bk-01-146000,101 NORTH 5 STREET,40.7176582282,-73.9603011562,995254.812296,200741.257688,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-021163,02/01/2018,3,Brooklyn,BK73,North Side-South Side,33,11249,301,555,555,3062172,3023347500,4663,"(40.7176582282, -73.9603011562)"
10321,3,Free,LinkNYC - Citybridge,bk-05-145941,3386 FULTON STREET,40.6840608397,-73.8705374096,1020156.06367,188524.768013,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-021921,11/21/2017,3,Brooklyn,BK83,Cypress Hills-City Line,37,11208,305,184,184,3327234,3041480040,4726,"(40.6840608397, -73.8705374096)"
12910,3,Free,LinkNYC - Citybridge,bk-02-108350,36 NEVINS STREET,40.6874572699,-73.9819201796,989264.130708,189736.170446,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-006141,03/29/2018,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11217,302,37,37,3000000,3001660040,3764,"(40.6874572699, -73.9819201796)"
